,rule_name,P,sparsity,accuracy,pos,neg
0,linear,25,0.5,1.0,16.0,9.0
1,linear LB,25,0.5,1.0,11.0,14.0
2,FPLR 10,25,0.5,1.0,11.0,14.0
3,linear LUB 10,25,0.5,0.808,12.0,13.0
4,FPLR 1,25,0.5,0.884,12.0,13.0
5,linear LUB 1,25,0.5,0.952,15.0,10.0
6,linear,50,0.5,0.8840000000000001,24.0,26.0
7,linear LB,50,0.5,0.908,17.0,33.0
8,FPLR 10,50,0.5,0.9780000000000001,18.0,32.0
9,linear LUB 10,50,0.5,0.74,26.0,24.0
10,FPLR 1,50,0.5,0.636,20.0,30.0
11,linear LUB 1,50,0.5,0.7360000000000001,27.0,23.0
12,linear,100,0.5,0.7150000000000001,41.0,59.0
13,linear LB,100,0.5,0.6809999999999999,50.0,50.0
14,FPLR 10,100,0.5,0.8,50.0,50.0
15,linear LUB 10,100,0.5,0.6719999999999999,52.0,48.0
16,FPLR 1,100,0.5,0.5389999999999999,54.0,46.0
17,linear LUB 1,100,0.5,0.667,42.0,58.0
