Fig,Panel,θ_D,F_D,η_D,θ_P,F_P,η_P,α,β,γ,δ,b,g,N,Z,Z_P,Z_D,η_PPNZ,F_PPNZ
Fig1,,,,,,,,,,,,,,,,,,,
,E-G,0.5,,-0.1,1.0,,0.2,,,,,,,,,,,,
,H-L,0.5,0.0,0.1,1.0,1.0,0.1,,,,,,,,,,,,
Fig2,,,,,,,,,,,,,,,,,,,
,A1-F1,0.5,0.0,0.1,0.8,1.0,0.1,0.4,0.0,0.45,0.0,-1.8,step,10.0,,,,,
,A2-F2,0.5,0.0,0.1,0.8,1.0,0.1,0.55,0.0,0.7,0.0,-1.8,step,10.0,,,,,
,A3-F3,0.5,0.0,0.1,0.8,1.0,0.1,0.4,0.0,0.3,0.0,-1.8,step,10.0,,,,,
,A4-F4,0.8,0.0,0.1,0.5,1.0,0.1,0.55,0.0,0.6,0.0,-1.8,step,10.0,,,,,
Fig4,,,,,,,,,,,,,,,,,,,
,A,0.5,0.0,0.1,0.8,1.0,0.1,0.3,0.0,0.3,0.0,,,,,,,,
,B1,0.5,0.0,0.1,0.8,1.0,0.1,0.3,0.0,0.0,0.0,,,,,,,,
,B2,0.5,0.0,0.1,0.8,1.0,0.1,0.3,0.0,0.15,0.0,,,,,,,,
,B3,0.5,0.0,0.1,0.8,1.0,0.1,0.3,0.0,0.3,0.0,,,,,,,,
,B4,0.5,0.0,0.1,0.8,1.0,0.1,0.15,0.0,0.3,0.0,,,,,,,,
,B5,0.5,0.0,0.1,0.8,1.0,0.1,0.0,0.0,0.3,0.0,,,,,,,,
Fig5,,,,,,,,,,,,,,,,,,,
,All,0.7,1.0,0.025,2.6,3.0,0.025,2.0,0.2,0.0,0.0,-8.0,step,12.0,,,,,
Fig6,,,,,,,,,,,,,,,,,,,
,All,0.5,0.0,1.0,0.7,1.0,1.0,0.2,0.0,0.0,0.6,-6.0,step,14.0,1.0,,,,
Fig7,,,,,,,,,,,,,,,,,,,
,B,0.5,0.0,0.02,1.0,0.5,0.02,0.0,0.0,0.2,1.0,0.0,linear,20.0,,1.05,,,
,C,0.5,0.0,0.02,0.7,0.5,0.02,0.35,0.0,0.06,1.0,0.0,linear,20.0,,0.35,,,
,E,0.5,0.0,0.02,1.0,0.5,0.02,0.0,0.0,0.0,1.0,0.0,linear,20.0,,1.05,0.55,,
,F,0.5,0.0,0.02,0.7,0.5,0.02,0.3,0.0,0.0,1.0,0.0,linear,20.0,,0.45,0.25,,
Fig8,,,,,,,,,,,,,,,,,,,
,B,0.5,0.0,0.2,0.6,1.0,0.2,0.45,0.0,0.1,1.0,-3.0,step,24.0,,0.3,,0.0,0.25
,D,0.6,0.0,0.2,0.9,1.0,0.2,0.45,0.0,0.0,1.0,-3.0,step,24.0,,0.5,0.2,,
